Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2015-07-31,10.08,10.08,10.0,10.07,-0.1,15045.0,151217.0,,,151217.0
2015-06-30,9.04,9.239,9.02,9.2,,26803.0,,,,244874.0
2015-05-31,9.39,9.506,9.365,9.506,,38602.0,,,,365173.0
2015-04-30,9.47,9.536,9.41,9.488,,64742.0,,,,612581.0
2015-03-31,9.45,9.48,9.01,9.32,,54913.0,,,,511591.0
2015-02-28,9.05,9.11,8.96,9.086,,62121.0,,,,562505.0
2015-01-31,8.8,8.8,8.69,8.8,,83106.0,,,,726212.0
2014-12-31,8.38,8.4,8.311,8.311,,26001.0,,,,216893.0
2014-11-30,8.1,8.2,8.1,8.199,,12434.0,,,,101319.0
2014-10-31,8.037,8.069,7.972,8.069,,11083.0,,,,89147.0
2014-09-30,8.15,8.21,8.129,8.178,,22788.0,,,,186233.0
2014-08-31,7.85,7.92,7.85,7.92,,8585.0,,,,67796.0
2014-07-31,7.81,7.832,7.69,7.745,,65434.0,,,,506198.0
2014-06-30,7.705,7.705,7.57,7.57,,39858.0,,,,303452.0
2014-05-31,8.089,8.105,8.0,8.0,,94094.0,,,,754578.0
2014-04-30,8.361,8.455,8.301,8.302,,12272.0,,,,102687.0
2014-03-31,8.651,8.7,8.6,8.668,,21087.0,,,,182326.0
2014-02-28,8.45,8.485,8.4,8.485,,26546.0,,,,224281.0
2014-01-31,8.5,8.51,8.445,8.445,,23199.0,,,,196963.0
2013-12-31,8.43,8.448,8.256,8.301,,53546.0,,,,447131.0
2013-11-30,8.351,8.423,8.34,8.346,,15811.0,,,,132098.0
2013-10-31,8.32,8.38,8.241,8.378,,54692.0,,,,455409.0
2013-09-30,7.408,7.5,7.4,7.5,,19542.0,,,,145507.0
2013-08-31,7.194,7.2,7.16,7.16,,15639.0,,,,112181.0
2013-07-31,7.36,7.377,7.32,7.336,,12988.0,,,,95438.0
2013-06-30,7.572,7.712,7.524,7.712,,16591.0,,,,127181.0
2013-05-31,7.393,7.44,7.351,7.399,,37613.0,,,,278466.0
2013-04-30,8.045,8.119,8.045,8.05,,38793.0,,,,313965.0
2013-03-31,8.1,8.257,8.021,8.187,,86129.0,,,,700989.0
