Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
31/12/2010,39.45,39.55,38.92,39.1,,2258844,88465067,,,
30/11/2010,37.48,37.52,35.93,36.6,,12755863,468160052,,,
31/10/2010,41.5,41.87,41.05,41.42,,6042567,250596704,,,
30/09/2010,38.79,40.8,38.71,40.15,,24438129,980177434,,,
31/08/2010,49,49.74,48.67,49.58,,3983841,195892935,,,
31/07/2010,53.41,54,52.84,53.6,,4667175,249725119,,,
30/06/2010,46.5,47.43,46.03,46.7,,5894576,275640911,,,
31/05/2010,48.4,48.91,48.26,48.4,,1653112,80198403,,,
30/04/2010,53.86,54.37,51.05,52.26,,10276606,540003285,,,
31/03/2010,57.72,57.94,56.11,57.03,,6035110,343803265,,,
28/02/2010,46,46.85,45.8,46.64,,5372812,249005507,,,
31/01/2010,43.89,45.38,43.8,44.38,,8028298,357614082,,,0
31/12/2009,50.2,50.54,49.29,49.42,,0,93129388,,,0
30/11/2009,48.62,49.05,47.7,48.06,,5872451,283575371,,,
31/10/2009,51.72,51.98,49.56,49.56,,5630596,285280451,,,
30/09/2009,53.54,53.94,51.45,52.45,,5368667,282445442,,,
31/08/2009,47.95,48.17,46.74,47.35,,5218442,247397178,,,
31/07/2009,46.43,47.43,44.81,45.39,,9947216,453471443,,,
30/06/2009,44.65,45.09,43.2,43.2,,5830847,257107486,,,
31/05/2009,47.4,47.47,46.63,47.3,,4669082,220481862,,,0
30/04/2009,41.81,42.1,40.65,40.65,,9928371,411002993,,,0
31/03/2009,28.7,30.78,28.31,30.3,,8575996,255063393,,,
28/02/2009,21.3,21.68,20.03,20.78,,12082780,250232046,,,
31/01/2009,20.55,21.84,20.05,20.7,,9573273,198580466,,,0
31/12/2008,27.57,28.3,27.39,27.83,,0,148772468,,,0
30/11/2008,27.89,27.98,26.66,27.98,,6771266,185517928,,,
31/10/2008,30,30.81,28.51,29.44,,11232805,330070886,,,
30/09/2008,49,49.68,47.54,49.54,,12394387,605373030,,,
31/08/2008,58.11,58.79,57.84,58.2,,4358327,253926568,,,
31/07/2008,58.7,59.88,57.72,59.59,,8445917,498255520,,,
30/06/2008,55.71,55.99,54.32,54.85,,8301579,454974612,,,
31/05/2008,69,69.18,68.31,68.73,,8545676,587464628,,,0
30/04/2008,76.14,77.12,75.82,76.97,,4447358,298111053,,,
31/03/2008,71.66,71.8,70.35,71.7,,5567352,396708492,,,0
29/02/2008,75.25,75.81,73.41,74.26,,8140660,605543553,,,
31/01/2008,76.31,76.5,73.02,75.16,,10048779,749294497,,,0
31/12/2007,88.84,89.75,88.72,89.4,,0,115814923,,,0
30/11/2007,88.5,90.67,88,89.79,,7188845,644646402,,,
31/10/2007,90.33,93.08,90.33,92.05,,12954497,1191887594,,,
30/09/2007,90.25,90.95,89.52,90.38,,5763117,519328259,,,
31/08/2007,90.53,92.22,89.36,90.63,,9023564,818482544,,,
31/07/2007,99,101.89,98.96,100.9,,10434097,1050596043,,,
30/06/2007,107.4,108,106.19,107.81,,4273853,458177559,,,
31/05/2007,112.68,114.19,112.3,113.06,,4407926,499102162,,,0
30/04/2007,112,113.46,111.53,113.3,,2538338,286885738,,,0
31/03/2007,101.5,101.88,100.74,100.84,,4811022,487022688,,,
28/02/2007,100.49,101.52,97.66,99.25,,13252541,1324936889,,,
31/01/2007,106.95,108.76,106.53,108.44,,7196818,773423409,,,0
31/12/2006,101.9,102.18,101.34,101.34,,1014243,103028119,,,0
30/11/2006,98.65,99.19,97.35,97.37,,4529317,444580065,,,
