Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
31/01/2016,16.5,16.55,15.97,16.4,-0.2,13370944,217599516,,,
31/12/2015,22.76,22.8,22.525,22.53,-0.2,2373619,53711088,,,
30/11/2015,24,24.49,23.86,24.31,,5189619,126208506,,,
31/10/2015,25.33,25.48,24.94,25.47,,7638704,193442414,,,
30/09/2015,24.02,24.32,23.92,24.07,,6231341,150145269,,,
31/08/2015,26.25,26.35,25.88,26.28,,4637470,121355026,,,
31/07/2015,31.7,32.05,31.61,32.02,,9730868,310611006,,,
30/06/2015,27.07,27.43,26.72,26.95,,10635299,288187078,,,
31/05/2015,28.01,28.12,27.37,27.42,,8802124,242753123,,,
30/04/2015,28.3,28.96,28.02,28.73,,12140201,347032931,,,
31/03/2015,32.22,32.45,31.82,32.36,,8167780,263211523,,,
28/02/2015,29.1,29.38,29.01,29.38,,6871023,201021852,,,
31/01/2015,26.07,26.2,25.6,25.8,,10766908,278211610,,,
31/12/2014,25.2,25.25,24.99,24.99,,2848606,71504125,,,
30/11/2014,26.44,26.47,26.07,26.29,,5154681,135348482,,,
31/10/2014,24.8,25.01,24.47,24.88,,9576316,237274281,,,
30/09/2014,27.57,27.87,27.41,27.78,,6090806,168636160,,,
31/08/2014,26.12,26.28,25.78,26.04,,5772855,150082252,,,
31/07/2014,26.21,26.21,25.55,25.68,,12812176,329786464,,,
30/06/2014,26.08,26.14,25.47,25.7,,8857779,227675763,,,
31/05/2014,29.95,29.95,29.57,29.72,,8813544,262080320,,,
30/04/2014,31.99,31.99,31.64,31.76,,5628338,178926846,,,
31/03/2014,32.51,32.84,32.37,32.48,,5429720,176819964,,,
28/02/2014,35.05,35.3,34.77,35.24,,5182510,181707034,,,
31/01/2014,36.5,36.53,35.28,35.89,,11660099,417257827,,,
31/12/2013,34.7,34.87,34.59,34.68,,2217706,76938064,,,
30/11/2013,35.18,35.68,35.11,35.49,,4985179,176812396,,,
31/10/2013,35.5,36.15,35.39,35.63,,6827067,244336677,,,
